description;label
Dokąd płynie niekochana Łódź?;coma
To taka sztuka zestawiania słów.;coma
Ja wiem, że kocham Cię;czadoman
bo ta impreza to nie byle co;czadoman
To jest miłość;czadoman
Ach, jaki piękny dzień,;coma
I bij go w ryj, niech skurwysyn;coma
Spotkałem ją na bulwarze;czadoman
A potem usidlić na wieczność;coma
Krwawica codzienna, bo za darmo;coma
A łąka w rechot, w ryk.;coma
trzymaj mnie mocno;czadoman
za swoje pragnienia;czadoman
Masz bardzo złą wymowę,;coma
W poświacie stu niemych księżyców;coma
Rozrzucam na wiatr.;coma
Ofiarowałem ci miłość;coma
Przed miłością tą bo zakochałem się;czadoman
Zostań ze mną, one takie piękne są.;czadoman
pod gniewem rozpalonych dłoni;coma
Dokąd płynie miasto moich snów?;coma
Gorąco się robi;czadoman
Porady, narady,;coma
Roztrwoniła miłość ziemską,;coma
nie patrzymy na nic;czadoman
Szukam Cię bo już czas spojrzeć w oczy i;czadoman
tańcz, tańcz;czadoman
W oczko powierciwszy piąstką;coma
Moja bejbe, taki piękny kwiat;czadoman
Wszystkich myśli złych pozbędziesz się;czadoman
Hej, hej rozwalmy tę budę;czadoman
Poszedłem na molo, podejrzeć je na plaży;czadoman
One, to one, bliźniaczki szałowe;czadoman
ruszamy do tańca;czadoman
Z tą dziewczyną tak już jest;czadoman
tańcz, tańcz;czadoman
Pokochaj mnie...;czadoman
wszyscy się bawią;czadoman
Mamy lato...;czadoman
pokochała Go na Amen.;coma
Utoczę sobie krwi;coma
Bo po co zasypiać kiedy sen nie przychodzi;czadoman
Może niejedna, lecz dwie.;czadoman
Życzenia grzeczne,;coma
I las i szum;coma
No chodź na kolana;czadoman
Ole, ole, ole, ole;czadoman
z różańca wpół uśpionych domów;coma
Aby zostać gwiazdą, aby zostać gwiazdą.;coma
I nie mów, że nie wypada.;czadoman
Rozwalmy tę budę;czadoman
Przekażę ci treści, przekażę;coma
I opadł klon;coma
a teraz woah woah woah;czadoman
jeszcze tylko zapach typu Bond;czadoman
Kompletny rozziew doznań,;coma
Rozjaśniło się wokół.;coma
Jak po długim łkaniu;coma
bądź namiętna;czadoman
Nauczyłem się umierać w sobie;coma
Planuję ostatecznie;coma
O jak pięknie cały tydzień się przedstawia,;czadoman
smutne ptaki ryczą gniewne pieśni;coma
Podaj rękę mi, a zobaczysz jak;czadoman
a teraz woah woah woah;czadoman
Tylko ona dobrze wie czego chce;czadoman
Tarabanią pod stopy, dłonie;coma
Co ona potrafi, jeszcze to czuję!;czadoman
A, że mnie zaakceptowano,;coma
Karmiąca mnie matka;coma
Ja jestem Twoim Czadoman’en;czadoman
Rudą lalę pokochałem,;czadoman
Że tak się źle zachował, / To dla twojego dobra.;coma
Tak się bawi, tak się bawi cały świat;czadoman
Na na na na na na...;czadoman
Taniec;czadoman
Na Twojej twarzy makeup wymalował żal;czadoman
I nie chcę tu sztywny tak utracić chwil, moich dni, moich dni;coma
Ta sól bytów,;coma
Oto Cisza i ogień - wytchnienie mimo spraw.;coma
Pewność, że my;coma
A przecież byliśmy tu razem;coma
Pokochaj mnie i zostań jeszcze chwilę.;czadoman
Jutro nie zostanie po nim ślad;coma
Pisze do mnie: hej kochany;czadoman
Cisza i ogień.;coma
Niech świat uświęci tę ciszę.;coma
A my z wiecznego niepokoju;coma
Moja bejbe, taki piękny kwiat;czadoman
Podniosłem się;coma
Na kogo to, kogo, na kogo wyszło, padło?;coma
O smaku chleba i rdzy;coma
gwiazdy z mądrości swoich oczu;coma
Dobre niebo kiedy wszyscy śpią;coma
Przed sukcesem, kto wie?;coma
I dobrze wiem;czadoman
Pozwól mi zbliżyć się do siebie;czadoman
Oto cisza i ogień.;coma
Po prostu tańcz, ruszaj się;czadoman
Lecz jak by oko wykol;coma
Oto Cisza i ogień - wytchnienie mimo spraw.;coma
Tam zza krzaka,;coma
Może nie jedna, lecz dwie.;czadoman
przy mnie do rana;czadoman
Ze słonego ciasta zmierzchów jeśli zechcesz je znać;coma
Na garbie wytartym;coma
Nauczyłem się ukrywać cały strach;coma
Nie mam kontroli błędnika;coma
twoim przyjacielem;czadoman
Bateria w telefonie wyzionęła ducha;czadoman
Czy tego chcesz czy nie;czadoman
pod gniewem rozpalonych dłoni;coma
A teraz woah woah woah;czadoman
Jeszcze całusa przesyła.;coma
zarzucam turecką koszulę,;czadoman
Baw się, baw, tak jak cała sala;czadoman
Bez trudu złapałem taksę;coma
Co we mnie.;coma
Że upadnę nisko;coma
Nie bądź kiep;coma
Czego to, czego to nie wymyślą?;coma
I chwała za ten czas!;coma
Poczucie smaku, nasycenie barw.;coma
twoim przyjacielem;czadoman
po grzbiecie nieba światło toczą;coma
Białe krowy, znak odnowy głów.;coma
A wokół mnie jak nigdy moc i sens;coma
W Twoich oczach widzę płomień,;czadoman
Hej, hej bawmy się wszyscy ręce w górę;czadoman
muzyka z głośnika;czadoman
Polacy nigdy nie poddają się;czadoman
Ona o tym dobrze wie;czadoman
Lubisz nosić ciasne jeansy.;czadoman
Z Blondi będzie się działo;czadoman
Książę puszczy,;coma
A teraz woah woah woah;czadoman
Tak się bawi, tak się bawi cała Polska;czadoman
Raz..., Dwa..., Trzy...;czadoman
a teraz woah woah woah;czadoman
Pomiędzy krzaki;coma
Oto Cisza i ogień - wytchnienie mimo spraw.;coma
Więc mam teraz czas żeby ściągnąć bucha;czadoman
Fiknął w górze kozła jak małpa,;coma
jestem dziś;czadoman
Kiedy jesteś roześmiana!? Wtedy jesteś taka kochana!;czadoman
Ale nawet nie marzyłem o takiej panience.;czadoman
W gęstej glorii;coma
Pobawimy się w myszkę i kotka;czadoman
a nad ranem będziesz pić Martini.;czadoman
I tylko szum i szum;coma
Puste ulice, co to za szał?;czadoman
za chwilę zobaczysz jak życie się zmienia;czadoman
bądź namiętna;czadoman
Co ja teraz zrobię, chyba oszaleję.;czadoman
Zupełnie tak, jak za tamtych lat;czadoman
Zamknij oczy i poczuj jak;czadoman
To ja, ten sam od tylu lat, sam, czekam...;coma
I mogłoby wcale nie przestać;coma
Powiem Ci, że, że, że, kocham Cię;czadoman
(roześmiana!);czadoman
Choć jaśniejszej trochę;coma
Może miłość nas dosięgnie;czadoman
Wszyscy ręce w górę;czadoman
Kropla dla Polski;coma
Jej mówię,;coma
Utoczę sobie krwi x4;coma
Jak to jest, że Cię tutaj nie ma?;czadoman
Chować się w górach przed zgiełkiem miast;coma
po grzbiecie nieba światło toczą;coma
Następnie usłyszałem ach!;coma
Rudą lalę pokochałem,;czadoman
to taka piękna rzecz;czadoman
Chodź na kolana;czadoman
Galimatias, galimatias.;coma
Ryk przeciągły planet;coma
co Ty teraz powiesz na to;czadoman
Chłopczyk wsadził rękę do gardła,;coma
Bo upadłem nisko;coma
Teraz jest impreza życie się zaczyna;czadoman
Ole, ole, ole, ole;czadoman
Moja bejbe, tak nazywam ją;czadoman
Taniec;czadoman
Minął tamten czas;coma
0Rh+;coma
Może szampana, czerwone wino;czadoman
Świat jakby skulił się we mgle;coma
Nie mogę cię odnaleźć i nie mogę utulić;coma
Lecz po drugiej stronie...;coma
Rozmyty deszczem sen,;coma
po to by Cię bawić;czadoman
A swoją drogą czy Seplen;coma
Kocham was! Kocham was...;czadoman
modlitwa jest z wzniosłości dzwonów;coma
,,Kraaatastrofalny stan,;coma
Polacy nigdy nie poddają się;czadoman
Polana drży,;coma
Polacy nigdy nie poddają się;czadoman
Może dzisiaj się spotkamy;czadoman
Skoncentrowany w oku strach;coma
Tak bardzo chciałbym zostać tutaj z Tobą.;czadoman
Może ktoś, może gdzieś uświadomi Cię;czadoman
A będzie Ci lepiej niż w niebie;czadoman
Westchnąłem: Ech...;coma
nawet i te rude;czadoman
Kiedyś nie dane nam będzie miła;coma
Która pokocha dziś mnie?;czadoman
Lecz cóż gdyby nie wiersz, mimo jego marnej trwałości;coma
Stworzeniem tutaj,;coma
Niedopowiedzeniami;coma
Kolejny dzień, patrzę w oczy, które znam;czadoman
Pozostały już tyko brzydkie dziewczyny;coma
wiadomo, alkohol, emocje);coma
Królowa biedronek;coma
Hej, hej wszyscy ręce w górę;czadoman
Patrzę, nie wierzę, w oczach mi się dwoi;czadoman
Aż oniemiałem;coma
Minął tamten czas;coma
Że dziękuję;coma
wszystkie ładne wyjechały do Stanów;coma
Reklamówka foliowa. / To dla twojego dobra.;coma
Lecz cóż, gdyby nie wiersz, jak i dowód przeszłości?;coma
a rutynę zabić;czadoman
z przelotów wiatru, z garści cienia;coma
Jestestwem wnikł;coma
Wzięła młodość i do wczoraj;coma
z brzóz przedwieczornych;coma
przy mnie do rana;czadoman
w rytmie twojego gra;czadoman
Ach! Tego by jeszcze;coma
Powiodłem wzrokiem;coma
Nowy, pokojowy, zdrowy duch.;coma
To na życie, nie na jakiś piękny bal;czadoman
Patrząc na to co robisz mówią: chłam;czadoman
I dobrze wiem;czadoman
Co nie takie proste;coma
mój bohater mówi, że już nie wyrabia.;czadoman
Moja bejbe…;czadoman
Czego to, czego to nie wynajdą?;coma
Podchodzę i pytam, czy któraś ma ochotę;czadoman
ja i ty;czadoman
i nie znamy granic;czadoman
Nie mieścisz człowiek krowy w głowie?;coma
Chętnie utoczę sobie krwi;coma
sukienki, panienki;czadoman
I amen;coma
Żubr;coma
Nie ma jak.;coma
Skrzep;coma
No chodź na kolana;czadoman
Urządzę chłopca pięknie,;coma
Jej piękne ciało gdy porusza się;czadoman
Tajemna strużka życia;coma
twoim Czadoman’en;czadoman
Źrenice mam;coma
Mimo wszystkich nieprzespanych nocy;coma
Maja z Elą pewnie znowu są na haju,;czadoman
Karygodne to!;coma
A teraz się yeah yeah;czadoman
I myślę...;coma
Moja bejbe…;czadoman
A czuję, że wszystko skończone;coma
One, to one, bliźniaczki szałowe;czadoman
Że pozwolę ci na wszystko;coma
lico zmarszczył jej w starości;coma
Na skraju spraw i;coma
smak życia doprawić;czadoman
idę w świetle dnia;coma
Przyznać się, że, że, kocham Cię;czadoman
Pomiędzy zdania wskoczył znak zapytania.;coma
Baw się, baw, tak jak cała sala;czadoman
Następnie usłyszałem och, aaa!;coma
tańcz, tańcz;czadoman
a teraz woah woah woah;czadoman
gdy twoje ciało;czadoman
Mówiąc:;coma
One, to one, bliźniaczki szałowe;czadoman
Kocham was... Kocham was...;czadoman
Nie w bawełnę,;coma
Przejąłem władzę;coma
a teraz woah woah woah;czadoman
Słodki losie, jak;coma
wychodziła na rozstaje;coma
Gdy ciąłem czołem o bruk;coma
Bo to jest miłość;czadoman
Popatrz mam, mam na życie bilet;czadoman
Pomimo strachu i cierpień;coma
Czuję jak można z naturą blisko;coma
Że kocham je;coma
Ciszy, której ton przepełnia dzień.;coma
Ruch przyjemny formować, większy.;coma
chłop jak dąb, a łkał i wzdychał.;coma
Jak to jest?;czadoman
Samo spojrzenie onieśmiela mnie;czadoman
twoim przyjacielem;czadoman
Oto moja leniwa krew;coma
Pragnąć uchronić cię przed seksualnym piekłem,;coma
No chodź na kolana;czadoman
To jesteś Ty,otwórz mi mała;czadoman
Która pokocha dziś mnie?;czadoman
A toż to dopiero listopad,;coma
a nad ranem będziesz pić Martini.;czadoman
Lubisz nosić ciasne jeansy!;czadoman
Patrzę znów na Twoje zdjęcia;czadoman
Tak wzmogły,;coma
Zostajemy i tańczymy tu do końca;czadoman
Na którym zostałeś peronie;coma
Przedostała się w parszywy czas;coma
(ładna);coma
rozkładam na piasku, przy świecach koc,;czadoman
Dziecinne;coma
Oto cisza i ogień.;coma
Lubisz stroić głupie miny!;czadoman
ruszaj się i chwyć za rękę mnie;czadoman
Chwała wyklętej zimie, że się umiała roztopić;coma
Na małego loda, może zimną wodę?;czadoman
No jak to jest, że Cię tutaj nie ma?;czadoman
Westchnąłem okropnie;coma
przy mnie maleńka;czadoman
Nie używaj mnie, nie używaj mnie, nie używaj mnie, nie chcę, nie chcę;coma
W bezradności nieprzeniknionej;coma
Ja wiem, że kocham Cię;czadoman
Pobawimy się w myszkę i kotka;czadoman
Kolory tęczy ze sceny mkną;czadoman
Jaaaaaaaaaaaaaaa;coma
Oto Cisza i ogień - wytchnienie mimo spraw.;coma
imprezę rozbujamy;czadoman
Wszyscy giną jakby nigdy ich nie miało być;coma
Do tego mi wystarczy;coma
Szelestu chrust z oddali...;coma
I wiem, że kiedyś odlecę, zapalicie po mnie świece, zapalicie świece;czadoman
Nie byłeś pewny gdy to się zdarzyło;coma
Niestety.;coma
Uświęcę słowem anioły, one pomogą mi wzlecieć;coma
Ta muzyka dla ciebie gra;czadoman
Bo to miłość jest;czadoman
co na mszę pod kościołem staną;coma
Czadoman;czadoman
W kolejnych wielkich;coma
Więc tańcz, tańcz;czadoman
Jak to jest, że Cię tutaj nie ma?;czadoman
Pokochaj mnie, chcę w sobie czuć motyle.;czadoman
I jakby;coma
Z Blondi będzie się działo;czadoman
tańcz, tańcz;czadoman
Ruda tańczy jak szalona.;czadoman
twoim Czadoman’en;czadoman
No chodź na kolana.;czadoman
Jadę z powrotem;coma
I będzie wtedy trochę żalu, kilka zimnych łez na balu, zimnych łez;czadoman
Urządzę chłopca pięknie,;coma
ruszaj się i chwyć za rękę mnie;czadoman
A czego to, czego to nie wymyślą?;coma
Jedziemy z Blondi limuzyną;czadoman
To moja rumiana;coma
co Ty teraz powiesz na to;czadoman
twoim przyjacielem;czadoman
Unikalny zapis, najważniejszych spraw;coma
Pozwól mi i wpuść mnie do środka;czadoman
Oto Cisza i ogień - to we mnie i w tobie.;coma
Niech będzie chwała za ten czas! No!;coma
Tylko błagam, nie załamuj rąk;coma
To nie jest sen;czadoman
Baw się, baw, tak jak cała sala;czadoman
Bezwiednie porzuciwszy materię.;coma
Tu kopytkami;coma
I kopa w tył, aż brakło sił.;coma
Bo dokąd?;coma
I chwała za ten czas!;coma
Polacy nigdy nie poddają się;czadoman
po to by Cię bawić;czadoman
Chętne są obie, bo żar się z nieba leje;czadoman
Białe krowy, znak odnowy głów. / Pomiędzy czarne wrony.;coma
Widziałem wiele, słyszałem jeszcze więcej,;czadoman
Swym srebrnym rogiem;coma
Nie do wiary że rozumiem każdy znak;coma
a tak wiem, że jesteś snem.;czadoman
Czy tego chcesz czy nie;czadoman
Zadrżałem z zimna,;coma
Hej piękne dziewczęta;czadoman
rozkute w planetarnym czasie;coma
By szybko zrobić im dziecko;coma
Niech wreszcie będzie wspaniale;coma
A my z wiecznego niepokoju;coma
twoim Czadoman’en;czadoman
Będziesz mieć inne dorosłe sprawy;coma
Nie wiem jak długo zdołam trwać;coma
Znam Twoje myśli, a nie znam ciała;czadoman
Ukrywasz skrzydła wtulone;coma
Oto Cisza i ogień - to we mnie i w tobie.;coma
W ogonach stu;coma
Zostajemy i tańczymy tu do końca;czadoman
Ja wiem, że kocham Cię;czadoman
Oto Cisza i ogień - to we mnie i w tobie.;coma
z niecierpliwości strun spragnionych;coma
By Cię poznać w każdym calu;czadoman
Nie powstrzymasz jej sam, / czego to oni to czego, czego to oni to nie wymyślą;coma
Dlaczego nie mogę przebywać po każdej ze stron jednocześnie;coma
Zostań tu, zostań tu do rana;czadoman
A teraz się yeah yeah;czadoman
Mijamy pola, las, nikt nie widzi nas;czadoman
nad swoją urodą.;coma
I mówi,;coma
Od rana pada deszcz,;coma
Zaświecił liśćmi;coma
Wiem, że już nic nie powstrzyma mnie;czadoman
A teraz się yeah yeah;czadoman
Ot pełnia księżyca;coma
To moja waleczna;coma
kiedy jesteś roześmiana! Wtedy jesteś taka kochana!;czadoman
Pokochaj mnie, chcę w sobie czuć motyle.;czadoman
Pozwól mi zbliżyć się do siebie;czadoman
bo ta impreza to nie byle co;czadoman
chcesz też wymyślić taką drogę;coma
Milczał swą nałogową odpowiedź,;coma
I nie mów, że nie wypada.;czadoman
Mam uchronić się;coma
Znaleźli sobie seplena, niebogę;coma
co na mszę pod kościołem staną;coma
Ole, ole, ole, ole;czadoman
Zalane gęby na Fabrycznym;coma
To nie jest sen;czadoman
Gonię ogon, gonię ogon,;coma
Hej, hej bawmy się;czadoman
Krrrwa mać.;coma
Jedziemy z Blondi limuzyną (2 x);czadoman
Koralowy sznur;coma
I tak se;coma
Cisza.;coma
Rudą lalę pokochałem,;czadoman
Wyślij na mnie swój esemes.;coma
zwrócić krok na południową stronę boga;coma
smak życia doprawić;czadoman
twoim przyjacielem;czadoman
(taka kochana!);czadoman
wszystkie ręce w górę;czadoman
Utoczę sobie krwi;coma
Teraz ja sam najmniejszy z was;coma
Inie mów, że nie wypada.;czadoman
Psiakrew mnie w łydkę gryzł;coma
Niech moje miasto o tym wie,;coma
Giną jak psy;coma
Z rozproszonej mowy tworzę wątły szlak;coma
A oddech zawisł;coma
przy mnie do rana;czadoman
Co dnia jeszcze przed świtaniem;coma
No chodź na kolana;czadoman
Jak papuga w klatce nie ma skrzydła nadziei;czadoman
jak moje serce;czadoman
Jak cudowne byłoby życie, jak wspaniały każdy dzień.;czadoman
Lecz odłóżmy w niepamięć, przewiny i żale i złość;coma
To pewnie oni, ci biali czarodzieje;czadoman
Tylko ja się dziś odważę;czadoman
Wylezą ze swoich mieszkań;coma
Znów na polanę, na łąkę.;coma
Kiedyś ławeczka, a dzisiaj maseczka;czadoman
jestem dziś;czadoman
Choć je przecieram, druga z boku stoi.;czadoman
Kocham was, mówię szczerze, choć w tę miłość sam nie wierzę.;czadoman
Mimo prawdy porzuconej na rozstajach dróg;coma
Krzyczy piszczy to jest ona!;czadoman
Ale wali wrona wprost:;coma
Jak rzekłem, padłem;coma
Przenika ciało całą noc;czadoman
to taka piękna rzecz;czadoman
co Ty teraz powiesz na to;czadoman
Takt stukały sarny;coma
co by młodość wieczną miała,;coma
Wydaje się, dotykam, jednak mi się śni;czadoman
Chętnie utoczę sobie krwi;coma
Ja, ja, ja;coma
z zadumy kaplic i organów;coma
Fraza na rozstanie, jakiś łzawy wers;coma
Kiedaś nie dane nam będzie razem;coma
Bo to miłość jest;czadoman
A będzie Ci lepiej niż w niebie;czadoman
O więcej nie pytam,;coma
Jedziemy z Blondi limuzyną;czadoman
Wchodzę na plażę nie jestem sam,;czadoman
Kiedy jesteś roześmiana, wtedy jesteś taka kochana!;czadoman
Polacy nigdy nie poddają się;czadoman
Rozmiękłe echo twoich słów,;coma
damy bit ustala;czadoman
Twa uroda to oszustwo;czadoman
Dożylna królowa;coma
Pokochaj mnie i zostań jeszcze chwilę.;czadoman
To bogini, ta dziewczyna;czadoman
Tak dużo rąk, tak wiele kont, a jednak błąd, znów pod prąd;czadoman
Polacy, Polacy, Polacy;czadoman
Hello, to ja;czadoman
Kiedy jesteś roześmiana?! Wtedy jesteś taka kochana?!;czadoman
jestem dziś;czadoman
W poświacie stu niemych księżyców;coma
Jak to jest? Wyję wciąż do nieba;czadoman
On nie postąpi z tobą pięknie ani wdzięcznie,;coma
Lubisz stroić głupie miny!;czadoman
I z ciszy, tak wielkiej, że nie znajdziesz w niej najmniejszej kropli;coma
po to by Cię bawić;czadoman
Żywe kropidło kropi bruk;coma
Czarne chmury nad głową,;coma
Jutro nie zostanie po nich cień;coma
Niech nam będzie wspaniale zabiorę Cię z sobą gdziebądź;coma
nikt nie podpiera ściany;czadoman
ruszamy do przodu;czadoman
Pochlipuje modlitwami niestrudzonych ust;coma
Pozwól mi i wpuść mnie do środka;czadoman
Jak to jest? Czuję się pijany;czadoman
Wsnuł się blask,;coma
Gdzie miernota orężem, / czego to oni to czego, czego to oni to nie wymyślą;coma
Co we mnie.;coma
I nie mów, że nie wypada.;czadoman
jestem dziś;czadoman
Niech będzie chwała za ten czas!;coma
Lecz widzę,;coma
Ciepły jak ten letni wiatr,;czadoman
Mają nogi porośnięte włosami;coma
Patrz ta jesień jak miłość purpurą rozkrwawia nam wzrok;coma
Pomiędzy ciebie a i mnie kochana,;coma
Hej, hej bawmy się wszyscy ręce w górę;czadoman
Ja;coma
Albo wrażenia;coma
(Na każdym śniegu w Sylwestra;coma
Nie do wiary że rozumiem każdy znak /x2;coma
Ja to wiem, Ty to wiesz choć nie przyznasz się;czadoman
Hej kochanie, zerknij w lustro;czadoman
Z ust bożej krówki;coma
Bo tylko ona ma takie ciało;czadoman
W niedorzeczności;coma
Hej, hej śmiejmy się rozwalmy te budę!;czadoman
Noc jest z milczenia skrzydeł ptasich;coma
Bo to jest miłość;czadoman
Kropla do kropli;coma
To nie jest sen;czadoman
Nie używaj mnie, nie używaj mnie, nie używaj mnie, nie chcę;coma
Daję ci młodość bez pytania;coma
Wracam do namiotu, poprawiam włos;czadoman
Już na murawie rozgrzewają się;czadoman
Wskazywał niebo;coma
Oto Cisza i ogień - to we mnie i;coma
Słyszę już kroki,zbliżają się do mnie;czadoman
Zostań tu, zostań tu na chwilę;czadoman
Wszystkich myśli złych pozbędziesz się;czadoman
Kryształek gorzki;coma
Bo to jest miłość;czadoman
A niech mnie!;coma
Czarne chmury nad głową,;coma
Jak to jest? Wyję wciąż do nieba;czadoman
Kolejna kropla u nosa zwisa;coma
Biedronka hi, hi,;coma
Gdy się obudzi żeby żyć;coma
Pojaśniało za drugim wdechem;coma
Pan Bóg głuchy na próżności;coma
W kieszeni różowe mam szkiełko;coma
Na płytki szpitala w Złotnikach;coma
Groźna burza w nocy, kwaśnych wiśni smak;coma
Narwana i skoczna wrona;coma
On w oczach ma zło.;coma
Będziemy tańczyć z sobą upojeni.;czadoman
Kałuże, chlup,;coma
Jak by ktoś garścią bozonów;coma
modlitwa jest z wzniosłości dzwonów;coma
Moja bejbe… tak nazywam ją;czadoman
One, to one, bliźniaczki szałowe;czadoman
zgromadziły się złowrogie chmury;coma
jestem dziś;czadoman
Nie pomnę...;coma
W środę Anka, może będzie jeszcze Krycha,;czadoman
Lubisz bardzo, szybkie jazdy!;czadoman
Lubisz pisma, kolorowe!;czadoman
W jakiejś kolejnej,;coma
Tamten zgodził się od razu;coma
Wwiercam wzrok w widnokrąg;coma
Przejąłem wła...hm, hm;coma
Dokąd płynie niekochana Łódź?;coma
jestem dziś;czadoman
A teraz się yeah yeah;czadoman
Niezniekształcone gwałtownością spraw;coma
W postaci mgły;coma
Chmury zguby na łby, tak, tak!;coma
Dzisiaj nikomu nie damy szans;czadoman
Jak to jest?;czadoman
Moja bejbe, o niej wszyscy śnią;czadoman
Wspomnienie treści...;coma
Może nie jedna, lecz dwie.;czadoman
jestem dziś;czadoman
Dzisiaj nad parkietem nikt się nie lituje;czadoman
W oczy sypnął;coma
0Rh+;coma
Przedrze się lęk odejmując mu treści.;coma
Nie ma jak.;coma
No wstyd!;coma
Abym się wyrzec miał;coma
Światła zlewają się u stóp;coma
Rozluźnij się pan,;coma
Moja zmieszana krew;coma
Bo to jest miłość;czadoman
Ja nie chcę, ja nie chcę dalej tam tkwić;coma
0Rh+;coma
Chwila wytchnienia mimo spraw;coma
Chwała wyklętej wiośnie, nie będzie, nie będzie rodzić kwiatów;coma
I zwiał.;coma
A we mnie skrzył się;coma
Jaaaaa aa aa aa ja;coma
Ruda tańczy jak szalona.;czadoman
W moralną nędzę z erotycznym cię kontekstem pcha.;coma
Zatopionej w ustach;coma
Zawstydził się i znikł,;coma
jestem dziś;czadoman
przy mnie maleńka;czadoman
I wył jak pies;coma
Oglądałem je na Fashion TV;coma
Jestem man, Czadoman;czadoman
Jak spodki dwa,;coma
Z tej dziewczyny z Instagrama;czadoman
Od tego dnia o niej marzę;czadoman
No to daruj sobie i już!;coma
Sakraaaaaamencko;coma
Ooooo i mam dreszcze;coma
Za wszelką cenę,;coma
widok mnie powala;czadoman
Jak to jest, że Cię tutaj nie ma?;czadoman
Bo nie mogłem nie.;coma
może poznam parę dziewczyn obdarzonych.;czadoman
Skrzy się lśni,;coma
Przepełnieni sobą wzajem, pod stopami mamy świat;coma
Gdy utopisz lęk przed kolejnym dniem;czadoman
a rutynę zabić;czadoman
 Kiedy jesteś roześmiana, wtedy jesteś taka kochana!;czadoman
z niecierpliwości strun spragnionych;coma
Przed głodem ochrona;coma
W szorstkości swe;coma
tańcz, tańcz;czadoman
Jasno jak na zimę w Sylwestra;coma
W najdalszym z krańców rzeczy;coma
Powtarzałem nieustannie;coma
Wskroś okolicy,;coma
To tak to, to, tak to, to;coma
Może nie jedna, lecz dwie.;czadoman
bądź doskonała;czadoman
Ale niepotrzebne te bikini kolorowe.;czadoman
ja jestem twoim czadoman’en;czadoman
I we mnie zaczyna osad jakiś;coma
Pewnie ktoś kto tego słucha, znów strzeli z ucha;czadoman
Dokąd płynie miasto moich snów?;coma
Mam uchronić się;coma
ludzi pełna sala;czadoman
Myśli okiełznałem czule;coma
Unikalny zapis najważniejszych spraw;coma
Tak się bawisz ty i ja;czadoman
Bym ich wysłuchał,;coma
tańcz, tańcz;czadoman
Jest już lato...;czadoman
które od bólu łzami pękną;coma
twoim Czadoman’en;czadoman
Do czego to, czego to, czego doszło, przyszło?;coma
Więc tańcz, tańcz;czadoman
Krystalizować się, wytrącać;coma
To obok żwirowni,;coma
już nie zapomnę tej Pani!.;czadoman
Nowy, pokojowy, zdrowy duch./ Pomiędzy czarne wrony.;coma
Spomiędzy drzew;coma
przeglądała się w jeziorach.;coma
Trochę Ciebie na własność, bym gdy wrócę nie pragnął...tak bardzo...;coma
odsprzedała przeniebieską;coma
przed kapliczką tam błagała;coma
W Widokówce z tego świata.;coma
Która pokocha dziś mnie?;czadoman
do pierwszego zakochania ...;coma
Fantazja;coma
Noc jest z milczenia skrzydeł ptasich;coma
a rutynę zabić;czadoman
Lawina uczuć do ciebie gna;czadoman
A blaskiem nikłym;coma
W miejscu gdzie stoję ginie kształt;coma
Poprawiam garnitur,podciągam spodnie;czadoman
Obudź się, szkoda dnia;czadoman
Chętnie utoczę sobie krwi.;coma
Bez lęku język wetknie, złe intencje ma jak nic.;coma
Gorzki oddech, piwo i fajki;coma
Zostań tu, zostań tu na chwilę;czadoman
Zgadnij gdzie bawimy się;czadoman
bo ta impreza to nie byle co;czadoman
Zostań tu, zostań tu na chwilę;czadoman
Zadumała się dziewczyna;coma
Między drogami, które znasz;coma
pod gniewem rozpalonych dłoni;coma
Stoję pod drzwiami,deszcz na mnie pada;czadoman
z zadumy kaplic i organów;coma
Słodki losie, jak;coma
Dokąd płynie odrapany wrak?;coma
damy radę i dzwonimy do Jagody.;czadoman
Celuję, celuję w ciebie palcem;coma
laalalala...;coma
moje życie ma sens;czadoman
Tam klon był trzasł,;coma
Jest już lato...;czadoman
W godzinie naszego spotkania;coma
Tak ja nieustannie czekam,może coś się zmieni;czadoman
Bo to miłość jest;czadoman
Oto Cisza i ogień - wytchnienie mimo;coma
jestem dziś;czadoman
Przestawił szyk, zaburzył rytm,;coma
A może w niebie?!;czadoman
Tak się bawi, tak się bawi cały świat;czadoman
Pozwól mi zbliżyć się do siebie;czadoman
Życzenia zbożne,;coma
Bezpiecznie trwać.;coma
On mówi mi, że straciłem życia smak;czadoman
Sukces ordynarną ma twarz. / czego to oni to czego, czego to oni to nie wymyślą;coma
Chociaż dobrze wiem, że za chwilę będzie mało;czadoman
ja jestem superbohaterm;czadoman
Mam tylko jeden na to sposób;czadoman
Jak to jest, że Cię tutaj nie ma?;czadoman
a teraz się yeah yeah;czadoman
Ruda tańczy jak szalona,;czadoman
,,Na, na, na,;coma
Polana to;coma
Z wenflonu, przez rurkę;coma
Westchnieniem,;coma
twoim przyjacielem;czadoman
Ja najbardziej lubię cię, a ja najbardziej lubię cię!;czadoman
Myślałem, że to ruda czyni ze mną cuda;czadoman
Chłodem i jego zapachem;coma
Co robić mam, by zagoić tyle ran?;czadoman
Białe krowy, znak odnowy głów. / Pomiędzy czarne wrony.;coma
Nie przekonuj mnie na siłę;coma
jeszcze wczoraj byłem razem z nimi w raju.;czadoman
Nowy, pokojowy, zdrowy duch. / Pomiędzy czarne wrony.;coma
(taka kochana!);czadoman
nie ma we mnie zła;coma
